State,Month,sick death,all death
Colorado,April,44.97435897435897,677.1282051282051
Colorado,August,30.375,629.075
Colorado,December,47.794117647058826,696.6470588235294
Colorado,February,54.78378378378378,710.6216216216217
Colorado,January,60.325581395348834,731.6046511627907
Colorado,July,31.725,623.1
Colorado,June,36.973684210526315,638.5
Colorado,March,52.56410256410256,706.6923076923077
Colorado,May,37.4,662.875
Colorado,November,38.90243902439025,661.780487804878
Colorado,October,38.888888888888886,664.6888888888889
Colorado,September,34.743589743589745,633.0512820512821
Connecticut,April,48.1025641025641,588.3846153846154
Connecticut,August,34.02777777777778,520.3611111111111
Connecticut,December,44.38235294117647,599.4411764705883
Connecticut,February,58.7027027027027,636.6216216216217
Connecticut,January,61.16279069767442,645.7674418604652
Connecticut,July,35.825,526.175
Connecticut,June,37.23684210526316,544.8421052631579
Connecticut,March,52.58974358974359,596.2820512820513
Connecticut,May,37.7,549.875
Connecticut,November,41.8974358974359,576.9487179487179
Connecticut,October,37.875,563.8
Connecticut,September,36.31428571428572,532.0285714285715
Delaware,April,10.948717948717949,161.5897435897436
Delaware,August,8.975,152.5
Delaware,December,10.529411764705882,168.8235294117647
Delaware,February,13.432432432432432,171.97297297297297
Delaware,January,14.837209302325581,179.95348837209303
Delaware,July,9.325,148.875
Delaware,June,9.210526315789474,150.60526315789474
Delaware,March,12.128205128205128,165.15384615384616
Delaware,May,9.875,153.65
Delaware,November,8.78048780487805,158.6829268292683
Delaware,October,9.444444444444445,158.04444444444445
Delaware,September,8.666666666666666,149.35897435897436
District of Columbia,April,6.282051282051282,93.71794871794872
District of Columbia,August,4.7,86.925
District of Columbia,December,5.588235294117647,95.5
District of Columbia,February,7.405405405405405,95.21621621621621
District of Columbia,January,7.72093023255814,100.62790697674419
District of Columbia,July,4.775,86.75
District of Columbia,June,5.315789473684211,88.94736842105263
District of Columbia,March,6.17948717948718,96.2051282051282
District of Columbia,May,5.225,87.175
District of Columbia,November,5.536585365853658,90.95121951219512
District of Columbia,October,5.288888888888889,91.46666666666667
District of Columbia,September,5.205128205128205,88.05128205128206
Florida,April,204.53846153846155,3601.8205128205127
Florida,August,172.6,3412.725
Florida,December,217.88235294117646,3670.294117647059
Florida,February,245.78378378378378,3811.4594594594596
Florida,January,259.86046511627904,3878.139534883721
Florida,July,179.375,3454.225
Florida,June,186.1315789473684,3481.9210526315787
Florida,March,227.53846153846155,3723.641025641026
Florida,May,187.2,3507.1
Florida,November,193.26829268292684,3504.9268292682927
Florida,October,185.64444444444445,3476.311111111111
Florida,September,177.35897435897436,3444.5641025641025
Georgia,April,90.05128205128206,1469.7179487179487
Georgia,August,69.85,1398.225
Georgia,December,105.61764705882354,1570.5
Georgia,February,112.4054054054054,1570.1891891891892
Georgia,January,124.88372093023256,1637.7906976744187
Georgia,July,69.225,1390.925
Georgia,June,75.78947368421052,1404.7368421052631
Georgia,March,100.05128205128206,1520.3076923076924
Georgia,May,78.0,1419.5
Georgia,November,86.70731707317073,1456.7073170731708
Georgia,October,76.04444444444445,1412.2444444444445
Georgia,September,75.7948717948718,1408.1538461538462
Hawaii,April,21.58974358974359,204.33333333333334
Hawaii,August,19.0,196.75
Hawaii,December,23.264705882352942,203.5
Hawaii,February,23.89189189189189,213.6216216216216
Hawaii,January,25.790697674418606,215.5581395348837
Hawaii,July,18.175,196.3
Hawaii,June,19.5,203.52631578947367
Hawaii,March,23.794871794871796,215.53846153846155
Hawaii,May,19.725,201.075
Hawaii,November,19.878048780487806,195.09756097560975
Hawaii,October,18.0,190.13333333333333
Hawaii,September,20.46153846153846,201.53846153846155
Idaho,April,16.28205128205128,245.23076923076923
Idaho,August,10.525,233.725
Idaho,December,16.61764705882353,247.55882352941177
Idaho,February,19.7027027027027,255.45945945945945
Idaho,January,22.27906976744186,258.6279069767442
Idaho,July,11.575,232.7
Idaho,June,12.947368421052632,236.1315789473684
Idaho,March,19.153846153846153,255.66666666666666
Idaho,May,13.975,240.6
Idaho,November,15.414634146341463,241.6341463414634
Idaho,October,14.133333333333333,239.48888888888888
Idaho,September,12.307692307692308,239.84615384615384
Illinois,April,148.3846153846154,1995.7435897435898
Illinois,August,120.65,1893.325
Illinois,December,166.41176470588235,2147.5
Illinois,February,181.0,2140.0
Illinois,January,207.5581395348837,2236.3953488372094
Illinois,July,118.825,1891.825
Illinois,June,122.6842105263158,1886.4736842105262
Illinois,March,169.07692307692307,2092.948717948718
Illinois,May,129.675,1925.325
Illinois,November,141.5609756097561,2003.780487804878
Illinois,October,136.2,1981.6444444444444
Illinois,September,125.1025641025641,1939.1025641025642
