,US State Name,State_x,Month_x,Avg_temp,Density (Pop./ mi2),Population,sick death,all death
107,Delaware,DE,March,43.0,485.0,"945,934",12.128205128205128,165.15384615384616
108,Florida,FL,March,65.93846153846152,378.0,"20,271,272",227.53846153846158,3723.641025641026
109,Georgia,GA,March,56.66666666666666,177.0,"10,214,860",100.05128205128206,1520.3076923076926
110,Hawaii,HI,March,72.275,222.0,"1,431,603",23.794871794871803,215.53846153846158
111,Idaho,ID,March,42.6,20.0,"1,654,930",19.153846153846157,255.66666666666663
112,Illinois,IL,March,39.38,231.0,"12,859,995",169.0769230769231,2092.948717948718
113,Indiana,IN,March,41.075,184.0,"6,619,680",106.56410256410255,1227.7435897435898
114,Iowa,IA,March,36.3,55.0,"3,123,899",53.641025641025635,582.7692307692307
115,Kansas,KS,March,43.76,36.0,"2,911,641",44.948717948717956,520.6153846153846
116,Kentucky,KY,March,47.05,112.0,"4,425,092",84.1794871794872,895.7692307692308
117,Louisiana,LA,March,60.725,108.0,"4,670,724",48.948717948717956,849.025641025641
118,Maine,ME,March,29.0,43.0,"1,329,328",23.66666666666667,279.3589743589744
119,Maryland,MD,March,43.6,618.0,"6,006,401",74.53846153846153,913.3333333333335
120,Massachusetts,MA,March,36.16666666666666,871.0,"6,794,422",107.48717948717949,1124.8717948717951
121,Michigan,MI,March,32.166666666666664,175.0,"9,922,576",144.7948717948718,1872.4615384615383
122,Minnesota,MN,March,28.82,68.0,"5,489,594",65.35897435897436,821.7179487179487
123,Mississippi,MS,March,55.73333333333333,63.0,"2,992,333",48.12820512820514,601.8974358974359
124,Missouri,MO,March,45.8,88.0,"6,083,672",96.23076923076924,1172.051282051282
125,Montana,MT,March,35.683333333333344,7.0,"1,032,949",15.615384615384615,189.23076923076923
126,Nebraska,NE,March,38.275,24.0,"1,896,190",31.256410256410252,323.84615384615387
127,Nevada,NV,March,44.16,26.0,"2,890,845",35.43589743589744,441.8717948717949
128,New Hampshire,NH,March,22.950000000000006,148.0,"1,330,608",19.33333333333333,225.05128205128204
129,New Jersey,NJ,March,42.53333333333333,1218.0,"8,958,013",97.33333333333331,1439.051282051282
130,New Mexico,NM,March,48.3,17.0,"2,085,109",33.358974358974365,355.15384615384613
131,New York,NY,March,37.322222222222216,420.0,"19,795,791",170.33333333333334,1976.205128205128
132,North Carolina,NC,March,50.75,206.0,"10,042,802",154.76923076923075,1713.7179487179485
133,North Dakota,ND,March,28.05,10.0,"756,927",12.769230769230768,122.8205128205128
134,Ohio,OH,March,39.1625,284.0,"11,614,373",181.20512820512818,2309.0
135,Oklahoma,OK,March,51.40000000000001,57.0,"3,911,338",69.12820512820512,771.3846153846154
136,Oregon,OR,March,44.825,41.0,"4,028,977",44.43589743589744,682.8717948717949
137,Pennsylvania,PA,March,39.55,286.0,"12,802,503",193.17948717948718,2628.589743589744
138,Rhode Island,RI,March,38.9,1021.0,"1,056,298",19.256410256410252,195.1025641025641
139,South Carolina,SC,March,56.225,162.0,"4,896,146",69.17948717948718,906.6153846153846
140,South Dakota,SD,March,32.825,11.0,"858,469",16.564102564102562,152.43589743589746
141,Tennessee,TN,March,50.46666666666667,160.0,"6,600,299",110.94871794871794,1274.7948717948718
142,Texas,TX,March,58.2,105.0,"27,469,114",299.76923076923083,3618.0769230769233
143,Utah,UT,March,42.55,36.0,"2,995,919",27.66666666666667,329.6666666666667
144,Vermont,VT,March,31.0,67.0,"626,042",11.82051282051282,113.48717948717949
145,Virginia,VA,March,47.8,212.0,"8,382,993",89.58974358974359,1265.820512820513
146,Washington,WA,March,44.62857142857143,107.0,"7,170,351",87.56410256410255,1052.6666666666667
147,West Virginia,WV,March,43.4,76.0,"1,844,128",43.4102564102564,445.92307692307685
148,Wisconsin,WI,March,33.575,106.0,"5,771,337",78.05128205128206,1004.3846153846154
149,Wyoming,WY,March,35.3,6.0,"586,107",8.076923076923077,92.12820512820512
150,Alabama,AL,April,63.7,95.0,"4,858,979",61.846153846153854,973.3333333333335
151,Alaska,AK,April,30.8,1.0,"738,432",4.94871794871795,77.69230769230771
152,Arizona,AZ,April,61.4,60.0,"6,828,065",67.74358974358975,1029.2307692307693
153,Arkansas,AR,April,62.16666666666666,57.0,"2,978,204",45.33333333333334,586.1794871794872
154,California,CA,April,57.7625,251.0,"39,144,818",418.05128205128204,4820.410256410257
155,Colorado,CO,April,47.6,52.0,"5,456,574",44.97435897435897,677.1282051282051
156,Connecticut,CT,April,49.45,741.0,"3,590,886",48.10256410256411,588.3846153846154
157,Delaware,DE,April,53.3,485.0,"945,934",10.948717948717947,161.5897435897436
158,Florida,FL,April,70.50769230769231,378.0,"20,271,272",204.53846153846158,3601.8205128205127
159,Georgia,GA,April,63.6,177.0,"10,214,860",90.05128205128206,1469.7179487179485
160,Hawaii,HI,April,73.35,222.0,"1,431,603",21.58974358974359,204.33333333333331
161,Idaho,ID,April,49.23333333333333,20.0,"1,654,930",16.28205128205128,245.23076923076923
162,Illinois,IL,April,51.1,231.0,"12,859,995",148.38461538461542,1995.7435897435894
163,Indiana,IN,April,52.05,184.0,"6,619,680",93.48717948717949,1178.3076923076926
164,Iowa,IA,April,49.1,55.0,"3,123,899",45.07692307692307,559.4615384615385
165,Kansas,KS,April,53.48,36.0,"2,911,641",34.53846153846154,484.7179487179488
166,Kentucky,KY,April,56.95,112.0,"4,425,092",74.61538461538461,864.9487179487178
167,Louisiana,LA,April,67.5,108.0,"4,670,724",44.769230769230774,824.0512820512822
168,Maine,ME,April,41.3,43.0,"1,329,328",21.974358974358974,269.61538461538464
169,Maryland,MD,April,53.7,618.0,"6,006,401",66.43589743589743,888.1282051282051
170,Massachusetts,MA,April,46.93333333333334,871.0,"6,794,422",97.25641025641028,1086.820512820513
171,Michigan,MI,April,44.6,175.0,"9,922,576",133.64102564102564,1831.051282051282
172,Minnesota,MN,April,43.52,68.0,"5,489,594",60.20512820512821,804.9487179487178
173,Mississippi,MS,April,63.23333333333334,63.0,"2,992,333",41.282051282051285,589.2564102564102
174,Missouri,MO,April,56.175,88.0,"6,083,672",77.33333333333333,1116.820512820513
175,Montana,MT,April,44.73333333333333,7.0,"1,032,949",12.82051282051282,184.79487179487182
176,Nebraska,NE,April,49.2125,24.0,"1,896,190",23.71794871794872,307.8205128205128
177,Nevada,NV,April,50.32000000000001,26.0,"2,890,845",32.17948717948718,430.56410256410254
178,New Hampshire,NH,April,34.5,148.0,"1,330,608",16.58974358974359,221.94871794871798
179,New Jersey,NJ,April,52.03333333333334,1218.0,"8,958,013",90.20512820512822,1392.9230769230771
180,New Mexico,NM,April,56.4,17.0,"2,085,109",26.33333333333333,341.07692307692315
181,New York,NY,April,48.67777777777778,420.0,"19,795,791",159.87179487179486,1911.9230769230771
182,North Carolina,NC,April,59.03333333333333,206.0,"10,042,802",131.82051282051282,1622.7435897435898
183,North Dakota,ND,April,43.35,10.0,"756,927",10.974358974358973,121.74358974358972
184,Ohio,OH,April,50.55,284.0,"11,614,373",160.53846153846158,2220.641025641026
185,Oklahoma,OK,April,60.4,57.0,"3,911,338",61.10256410256411,724.0769230769231
186,Oregon,OR,April,49.0,41.0,"4,028,977",40.17948717948718,665.8717948717949
187,Pennsylvania,PA,April,50.6,286.0,"12,802,503",167.7948717948718,2519.692307692308
188,Rhode Island,RI,April,49.1,1021.0,"1,056,298",18.820512820512818,194.89743589743588
189,South Carolina,SC,April,63.525,162.0,"4,896,146",61.43589743589744,861.4102564102565
190,South Dakota,SD,April,45.575,11.0,"858,469",15.051282051282053,146.33333333333334
191,Tennessee,TN,April,59.11666666666667,160.0,"6,600,299",101.25641025641028,1227.2820512820513
192,Texas,TX,April,65.91904761904762,105.0,"27,469,114",256.3589743589744,3463.102564102564
193,Utah,UT,April,49.6,36.0,"2,995,919",21.974358974358974,317.4871794871795
194,Vermont,VT,April,44.8,67.0,"626,042",9.538461538461537,109.46153846153848
195,Virginia,VA,April,57.125,212.0,"8,382,993",79.94871794871794,1225.051282051282
196,Washington,WA,April,49.28571428571429,107.0,"7,170,351",80.02564102564101,1019.0769230769232
197,West Virginia,WV,April,53.52500000000001,76.0,"1,844,128",38.487179487179496,430.8461538461538
198,Wisconsin,WI,April,46.175,106.0,"5,771,337",70.07692307692308,976.1538461538463
199,Wyoming,WY,April,43.0,6.0,"586,107",7.2564102564102555,88.28205128205127
200,Alabama,AL,May,71.775,95.0,"4,858,979",56.225,935.9
201,Alaska,AK,May,42.96,1.0,"738,432",4.6,76.175
202,Arizona,AZ,May,70.25999999999999,60.0,"6,828,065",59.575,981.675
203,Arkansas,AR,May,70.63333333333334,57.0,"2,978,204",42.05,572.425
204,California,CA,May,62.54375,251.0,"39,144,818",375.225,4644.05
205,Colorado,CO,May,57.24,52.0,"5,456,574",37.4,662.875
206,Connecticut,CT,May,59.35,741.0,"3,590,886",37.7,549.875
