City,State,January,February,March,April,May,June,July,August,September,October,November,December,Annual
WASHINGTON NAT'L AP,D.,36,39,46.8,56.8,66,75.2,79.8,78.1,71,59.5,49.6,39.7,58.1
APALACHICOLA,FL,52.4,55.3,60.4,66.5,74.3,80.2,82.1,81.7,79,70.7,62,55.1,68.3
DAYTONA BEACH,FL,57.9,60.4,64.3,68.9,75,79.9,81.6,81.5,79.5,74,66.6,60.5,70.8
FORT MYERS,FL,64.2,66.6,69.9,73.8,79,82.5,83.2,83.4,82.4,77.9,71.7,66.5,75.1
GAINESVILLE,FL,54.3,57.5,62.3,67.6,74.7,79.7,81.2,80.9,78.2,70.9,62.8,56.1,68.9
JACKSONVILLE,FL,53.1,56.4,61.7,67,74.1,79.9,82.3,81.8,78.2,70.4,62.2,55.2,68.5
KEY WEST,FL,69.4,71.3,73.7,76.6,80.4,83.5,84.6,84.6,83.6,80.6,76.1,71.9,78
MIAMI,FL,68.2,70.2,72.6,75.8,79.9,82.7,84.1,84.2,82.9,79.9,74.9,70.5,77.2
ORLANDO,FL,60.2,63.2,67.3,71.9,77.8,81.9,83.7,83.6,81.6,75.9,68.9,63,73.3
PENSACOLA,FL,51.1,54.3,59.4,65.7,73.7,79.6,81.8,81.6,78,69.1,60.7,53.7,67.4
TALLAHASSEE,FL,51.2,54.7,60.4,66.1,74.3,80.2,82,81.8,78.2,69.4,60.2,53.2,67.6
TAMPA,FL,60.8,63.4,67.3,72,78.4,82.2,83,83.2,81.7,76.2,69.1,63.1,73.4
VERO BEACH,FL,62.1,64.3,67.4,70.9,76.2,80.2,81.7,81.7,80.6,76.5,70.2,64.6,73
WEST PALM BEACH,FL,65.7,67.8,70.5,73.8,78.4,81.4,82.7,83,81.8,78.3,72.8,68.1,75.4
ATHENS,GA,43.5,47.2,54.3,61.7,70,77.5,80.6,79.6,73.3,63,53.8,45.4,62.5
ATLANTA,GA,43.3,47.2,54.3,62,70.1,77.3,80.2,79.4,73.5,63.3,54,45.3,62.5
AUGUSTA,GA,46.8,50.6,57.6,64.3,72.9,79.4,82.1,80.8,75.6,66,57.1,48.9,65.2
COLUMBUS,GA,47.2,51.1,57.8,64.6,73,79.8,82.5,81.9,76.6,66.5,57.3,49.1,65.6
MACON,GA,46.3,50,56.8,63.4,71.9,78.9,81.8,80.9,75,64.9,55.9,48,64.5
SAVANNAH,GA,49.5,53,59.2,65.6,73.3,79.8,82.6,81.5,76.9,67.9,59.3,51.7,66.7
HILO,HI,68,67.7,69,69.3,70.4,71.6,72.8,73,72.8,72.3,71.1,69.8,70.7
HONOLULU,HI,73.2,73.1,74.5,76.1,77.8,80.2,81.2,81.9,81.5,80,77.6,74.8,77.7
KAHULUI,HI,72,71.8,72.9,74,75.8,78,79.1,79.7,79.2,78.2,76,73.3,75.8
LIHUE,HI,71.7,71.6,72.7,74,75.8,78.1,79.1,79.7,79.4,78.1,75.8,73.2,75.8
BOISE,ID,31.3,36.5,44.5,50.8,59.1,67.5,75.8,74.7,64.9,52.8,40,30.7,52.4
LEWISTON,ID,35.6,38.7,45.3,51.3,59,66,74.4,74,64.6,51.8,41.1,33.7,53
POCATELLO,ID,24.3,28.4,38,45.6,53.8,62.1,69.9,68.9,59,47,34.3,24.5,46.3
CHICAGO,IL,23.8,27.7,37.9,48.9,59.1,68.9,74,72.4,64.6,52.5,40.3,27.7,49.8
MOLINE,IL,22.6,27,39.1,51.4,61.8,71.5,75.4,73.5,65.4,53.2,40,26.6,50.6
PEORIA,IL,24.9,29.5,40.6,52.3,62.4,71.8,75.5,73.8,66.1,54,41.6,28.6,51.8
ROCKFORD,IL,21.5,25.9,37.2,49.4,60.1,69.8,73.8,71.9,63.9,51.7,38.9,25.4,49.1
SPRINGFIELD,IL,26.7,31.2,42.1,53.5,63.7,72.5,75.8,74.2,66.8,55.1,43.1,30.4,52.9
EVANSVILLE,IN,32.5,36.6,46,56.1,65.7,74.8,78,76.7,69.1,57.6,46.4,35.6,56.3
FORT WAYNE,IN,24.9,28.3,38.4,50,60.4,70.1,73.6,71.5,64.3,52.6,41.4,29.1,50.4
INDIANAPOLIS,IN,28.1,32,42.4,53.1,62.8,72.3,75.2,74.1,67.1,54.8,44,31.7,53.1
SOUTH BEND,IN,24.4,27.8,37.5,49,59.3,69.1,73,71.3,63.9,52.1,40.7,28.8,49.7
DES MOINES,IA,20.7,25.3,37.5,49.7,60.6,69.7,74.1,72,63.6,51.5,37.5,24.6,48.9
DUBUQUE,IA,19,23.7,35.4,48.2,58.8,68.3,72,70,62,50,36.7,22.8,47.2
SIOUX CITY,IA,20.4,25.1,36.5,49.6,60.8,70.3,74.3,72.1,63.4,50.7,35.8,22.6,48.5
WATERLOO,IA,18.5,23.4,35.8,48.9,60.5,70,73.6,71.2,63,50.3,36.3,22.2,47.8
CONCORDIA,KS,28.6,32.7,43,53.1,63.1,73.4,79.1,77.1,68,55.4,41.6,30,53.8
DODGE CITY,KS,32.2,35.9,44.4,53.9,64.2,73.9,79.6,78.1,69.2,56.6,43.1,32.8,55.3
GOODLAND,KS,29.6,32.3,40.5,49.2,59.4,69.7,75.7,73.7,64.6,51.9,39,29.9,51.3
TOPEKA,KS,29.7,34.4,44.8,55.1,65,74.2,79,77.4,68.3,56.6,43.8,32,55
WICHITA,KS,32.2,36.8,46.1,56.1,65.2,75,80.2,79.3,70.4,58.2,45.1,33.9,56.5
GREATER CINCINNATI AP,OH,31.2,34.8,43.6,54,63.2,71.8,75.7,74.5,67.1,55.5,44.9,34.6,54.2
JACKSON,KY,34.9,38.8,47.4,57.4,64.6,72,75.4,74.5,68.1,58.1,48.4,38.1,56.5
LEXINGTON,KY,32.9,36.9,45.5,55.3,64.2,72.7,76.2,75.3,68.1,57,46.3,36,55.5
LOUISVILLE,KY,34.5,38.1,47,57.1,66.3,75.1,77.8,77.5,69.6,58.2,47.5,37.2,57.2
PADUCAH,KY,34.6,39.2,48.3,58,67.2,75.6,78.9,77.5,69.9,58.8,48.1,37.5,57.8
BATON ROUGE,LA,51.7,55.1,61.5,68.1,75.7,81.1,83,82.9,78.6,69.3,60.4,53.4,68.4
LAKE CHARLES,LA,51.8,55,61.4,68.1,75.6,81,82.9,83,78.6,70.1,61.1,53.8,68.5
NEW ORLEANS,LA,53.4,56.7,62.6,69.1,76.7,81.5,83.3,83.3,79.7,71.3,62.7,55.6,69.7
SHREVEPORT,LA,46.4,50.3,57.4,64.7,73.4,80,83,83.2,76.3,66,56.3,47.9,65.4
CARIBOU,ME,10.2,14.1,24.5,38.6,51.5,60.7,65.6,63.6,55,43.3,31.5,18.2,39.7
PORTLAND,ME,22.3,25.5,33.5,44,53.9,63.4,69.1,68,60.1,48.8,39.4,28.8,46.4
BALTIMORE,MD,32.9,35.8,43.6,53.7,62.9,72.4,77,75.1,67.8,56.1,46.5,36.7,55
BLUE HILL,MA,25.5,27.9,35.5,46.7,57.1,66.1,71.9,70.5,63.1,51.6,41.7,31.3,49.1
BOSTON,MA,29,31.7,38.3,48.1,57.9,67.7,73.4,72.1,64.9,54,44.7,34.7,51.4
WORCESTER,MA,24.1,27,34.7,46,56.3,65,70.2,68.8,61.2,50,40.3,29.4,47.8
ALPENA,MI,19.1,20.3,28.7,41.6,52.5,62.1,67.4,65.4,57.7,46.2,35.7,25,43.5
DETROIT,MI,25.8,28.2,36.6,48.5,59.4,69.3,73.9,72.2,64.6,52.5,41.6,30.3,50.2
FLINT,MI,22.4,24.8,34.1,46.4,56.9,66.5,70.5,68.8,61.1,49.5,38.9,27.4,47.3
GRAND RAPIDS,MI,24.4,26.8,35.6,48,58.7,68.4,72.5,70.8,62.8,51,40.1,29.2,49
HOUGHTON LAKE,MI,18.1,20,29.1,42.6,53.9,62.9,67.1,65,57.2,45.8,34.9,23.9,43.4
LANSING,MI,23.4,25.9,35.1,47.4,57.7,67.6,71.5,69.8,61.9,50.3,39.6,28.3,48.2
MARQUETTE,MI,18.8,20.7,29,40.1,51,59.9,66.6,66.6,59.4,47.3,34.8,23.5,43.1
MUSKEGON,MI,25.4,27.1,35,46.6,56.9,66.3,71.1,69.9,62.1,50.7,40.2,30.2,48.5
SAULT STE. MARIE,MI,15.3,17.6,26.3,40.2,51.8,60,65.3,64.6,57.1,45.6,34.1,22.2,41.7
DULUTH,MN,10.2,15.1,25.9,39.6,51.4,60.1,65.8,64.3,55.6,43.2,28.8,14.8,39.6
INTERNATIONAL FALLS,MN,4.4,10.3,23.6,39.3,51.8,60.8,65.2,63.3,53.6,41.1,25.5,9.7,37.4
MINNEAPOLIS-ST.PAUL,MN,15.6,20.8,32.8,47.5,59.1,68.8,73.8,71.2,62,48.9,33.7,19.7,46.2
ROCHESTER,MN,15.7,20.3,32.4,46.7,58.1,67.6,71.4,69.1,60.9,48.4,33.8,19.7,45.3
SAINT CLOUD,MN,11.6,17,29.4,44.5,56.5,65.6,70.3,67.8,58.6,45.7,30.4,15.9,42.8
JACKSON,MS,46.6,50.6,57.6,64.9,72.9,79.3,81.9,81.7,76.3,66.2,56.3,48.7,65.3
MERIDIAN,MS,44.8,48.7,55.6,62.7,70.8,77.6,80.6,80.3,74.8,64.1,54.7,47.2,63.5
TUPELO,MS,41.7,45.9,54,62.1,70.7,78.1,81.4,80.8,74.1,63,52.9,44.1,62.4
COLUMBIA,MO,29.7,34.4,44.6,55,64,72.9,77.3,76.2,67.6,56,44.4,32.4,54.5
KANSAS CITY,MO,31,35.5,46,56.6,66.5,75.8,81,79.4,70.2,58.3,45.4,33.7,56.6
ST. LOUIS,MO,31.8,36.3,46.3,57.3,66.8,75.9,80,78.6,70.4,58.7,46.8,34.7,57
SPRINGFIELD,MO,32.6,37.2,46.3,55.8,64.8,73.4,78.2,77.8,69,57.8,46.1,35,56.2
BILLINGS,MT,27.1,30.4,37.7,46.2,55.6,64.7,72.8,71.5,60.3,48.2,35.8,26.5,48.1
GLASGOW,MT,13.8,19.2,31.7,44.9,55.1,64,71.1,70.2,58.2,44.7,29.3,16.3,43.2
GREAT FALLS,MT,25.2,27.3,34.2,43.1,51.7,59.7,67.4,66.3,56.1,45.2,33.4,24.8,44.5
HAVRE,TX,18,22.2,32.8,44.4,54,62.2,69.2,68,56.5,44.3,30.2,19.1,43.4
HELENA,MT,23.1,27.7,36.3,44.9,54,62.1,70,68.3,57.8,45.6,32.5,21.8,45.3
KALISPELL,MT,23.8,27.1,35.4,43.6,51.8,58.3,64.7,63.9,54.2,42.1,31.8,22.7,43.3
MISSOULA,MT,25.8,30,38.8,45.7,53.5,60.9,68.6,67.5,57.4,45.1,33.2,23.9,45.9
GRAND ISLAND,NE,25.1,29.1,39.4,50.6,61.2,71.3,76.2,74,65.1,52.2,38.1,26.7,50.8
LINCOLN,NE,24.7,28.8,39.6,50.8,61.6,71.1,76.1,74.1,65.7,52.9,38.9,27,50.9
NORFOLK,NE,22.6,26.8,37.4,49.6,60.5,70.2,75,72.8,63.8,51,36.4,24.3,49.2
NORTH PLATTE,NE,25,29,38,47.6,57.9,67.9,74.3,72.1,62.3,49.1,35.6,25.4,48.7
OMAHA EPPLEY AP,NE,23.5,28.1,39.5,51.7,62.3,72.1,76.7,74.6,65.7,53.2,38.9,26,51
OMAHA (NORTH),NE,22.4,26.5,37.9,50,60.9,70.2,74.9,72.7,64.2,52.1,37.8,24.7,49.5
SCOTTSBLUFF,NE,27.2,30.4,38.2,46.7,57.3,67.2,74.1,71.9,61.7,48.5,35.8,26.1,48.8
VALENTINE,NE,23.6,27.2,36.2,46.7,57.6,67.5,74.5,72.8,62.3,48.5,34.4,23.8,47.9
ELKO,NV,25.1,29.9,38.9,45.2,53.4,62.2,70.2,68.2,58.8,46.6,34.7,26,46.6
ELY,NV,25.3,29,36.3,42.5,50.7,60,67.8,66.1,56.8,45.3,33.7,25.3,44.9
LAS VEGAS,NV,48,52.4,58.8,66.4,76,85.1,91.3,89.2,81.1,68.6,56.3,46.7,68.3
RENO,NV,35.6,39.9,45.7,50.9,59.5,67.7,74.9,73.2,65.2,54,42.7,35.3,53.7
WINNEMUCCA,NV,30.1,35.2,41.1,46.6,55.1,64.2,72.5,70,60.3,48.2,36.9,29.4,49.1
CONCORD,NH,20.6,24.3,33.1,45.1,55.8,64.9,70,68.5,60,48.2,38.3,26.8,46.3
MT. WASHINGTON,NH,4.7,6.1,12.8,23.9,35.5,45,49.1,48.1,41.6,30.2,20.7,10.1,27.3
ATLANTIC CITY AP,NJ,33,35.3,42.2,51.7,61.1,70.9,76.2,74.4,67.2,56.1,46.8,37.2,54.3
ATLANTIC CITY C.O.,NJ,35.5,37.2,43.3,51.6,60.6,70,75.6,75,69.1,58.7,49.4,39.9,55.5
NEWARK,NJ,31.6,34.6,42.1,52.8,62.7,72.4,77.4,75.8,68.2,56.6,46.8,36.5,54.8
ALBUQUERQUE,NM,36.4,41.4,48.1,56,65.6,74.9,78.3,76.2,69.3,57.5,44.9,36.3,57.1
CLAYTON,NM,35.4,37.5,44.2,52.4,61.5,70.4,74.7,73.3,65.8,54.8,43.6,34.8,54
ROSWELL,NM,40.6,45.7,52.6,60.8,70.1,78.2,80.3,78.7,72,61.1,49.3,40.4,60.8
ALBANY,NY,22.6,25.9,35,47.8,58.3,67.2,71.8,70.1,61.9,49.7,39.7,28.5,48.2
BINGHAMTON,NY,22.2,24.7,32.8,45.1,55.8,64.4,68.7,67.4,59.6,48.5,38.3,27.3,46.2
BUFFALO,NY,24.9,26.3,34,45.9,56.9,66.3,71.1,69.6,62.2,50.8,40.7,30.1,48.2
ISLIP,NY,30.6,32.8,39.3,49.1,58.6,68.4,73.9,72.8,65.6,54.3,45.1,35.6,52.2
NEW YORK C.PARK,NY,32.6,35.3,42.5,53,62.4,71.4,76.5,75.2,68,56.9,47.7,37.5,54.9
NEW YORK (JFK AP),NY,32.7,34.9,41.6,51.3,60.6,70.4,75.8,74.9,68.1,57,47.5,37.7,54.4
NEW YORK (LAGUARDIA AP),NY,32.9,35.3,42.2,52.7,62.5,72.2,77.4,76.3,69.1,58.1,48.3,38.2,55.4
ROCHESTER,NY,24.7,26.4,34.3,46.3,57,66.2,70.8,69.3,61.8,50.6,40.5,30,48.2
SYRACUSE,NY,23.6,25.9,34.2,46.9,57.6,66.7,71.3,69.8,62,50.6,40.6,29.4,48.2
